section,sample,project,operator,Antenna position,DUT Orientation,Housing connected to the ground plane,Configuration of the power return line LV,-,Mode,Conclusion,name,filename,step,preamp,setup,sweeping,rbw,dynamic,span,ref_level,vbw,rf_att,sweep_time,maxhold
CRE2-2025-TP002-02_ER_In front of harness RBW 9kHz,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 17/02/2025 17:31:53",in front of harness,axis X,no,remotely grounded,,3,comply,100kHz-10MHz,CRE2-2025-TP002-02_ER_In front of harness RBW 9kHz,2.25,OFF,USE_CRE2_RESAC (A) 9kHz-30MHz_rod,3,9,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of harness RBW 9kHz,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 17/02/2025 17:31:53",in front of harness,axis X,no,remotely grounded,,3,comply,10MHz-30MHz,CRE2-2025-TP002-02_ER_In front of harness RBW 9kHz,2.25,OFF,USE_CRE2_RESAC (A) 9kHz-30MHz_rod,3,9,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of harness RBW 9kHz_GNSS,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 17/02/2025 19:07:22",in front of harness,axis X,no,remotely grounded,,3,comply,1.156GHz-1.617GHz,CRE2-2025-TP002-02_ER_In front of harness RBW 9kHz_GNSS,2.25,ON,USE_CRE2_RESAC (A) 1.1-1.7GHz_GPS_horn,3,9,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of harness RBW 9kHz_GNSS,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 17/02/2025 19:07:22",in front of harness,axis X,no,remotely grounded,,3,comply,1.156GHz-1.617GHz,CRE2-2025-TP002-02_ER_In front of harness RBW 9kHz_GNSS,2.25,ON,USE_CRE2_RESAC (A) 1.1-1.7GHz_GPS_horn,3,9,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 9kHz_GNSS,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 18/02/2025 07:54:39",in front of harness,axis X,no,remotely grounded,,3,not comply,1.156GHz-1.617GHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 9kHz_GNSS,2.25,ON,USE_CRE2_RESAC (A) 1.1-1.7GHz_GPS_horn,3,9,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of DUT RBW 9kHz_GNSS,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"NDN/WD, 18/02/2025 07:54:39",in front of harness,axis X,no,remotely grounded,,3,not comply,1.156GHz-1.617GHz,CRE2-2025-TP002-02_ER_In front of DUT RBW 9kHz_GNSS,2.25,ON,USE_CRE2_RESAC (A) 1.1-1.7GHz_GPS_horn,3,9,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of harness RBW 120kHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 18/02/2025 16:36:12",in front of harness,axis X,no,remotely grounded,,3,comply,30MHz-200MHz,CRE2-2025-TP002-02_ER_In front of harness RBW 120kHz With PA,30.0,OFF,USE_CRE2_RESAC (A) 20MHz-300MHz_biconical with preamp,3,120,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of harness RBW 120kHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 18/02/2025 16:36:12",in front of harness,axis X,no,remotely grounded,,3,comply,30MHz-200MHz,CRE2-2025-TP002-02_ER_In front of harness RBW 120kHz With PA,30.0,OFF,USE_CRE2_RESAC (A) 20MHz-300MHz_biconical with preamp,3,120,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of harness RBW 120kHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 18/02/2025 16:36:12",in front of harness,axis X,no,remotely grounded,,3,comply,200MHz-1GHz,CRE2-2025-TP002-02_ER_In front of harness RBW 120kHz With PA,30.0,OFF,USE_CRE2_RESAC (A) 200MHz-2GHz_log-periodic with preamp,3,120,120,0.1,70,Auto,0,1000,5
CRE2-2025-TP002-02_ER_In front of harness RBW 120kHz With PA,CRE2-2025-TP002-02,CRE2-2025-TP002 RESAC,"VA/FK, 18/02/2025 16:36:12",in front of harness,axis X,no,remotely grounded,,3,comply,200MHz-1GHz,CRE2-2025-TP002-02_ER_In front of harness RBW 120kHz With PA,30.0,OFF,USE_CRE2_RESAC (A) 200MHz-2GHz_log-periodic with preamp,3,120,120,0.1,70,Auto,0,1000,5
